MFE,FETE,FMSE,ED
0,-0.33,0.588815,1.58
-0.2,-0.63,0.494243,2
0,-0.08,0.879294,0.59
0,-0.18,0.744661,1.06
-1.9,-2.16,0.652063,2.72
-0.4,-0.75,0.569359,1.65
0,-0.21,0.707717,1.33
-0.3,-1.01,0.317358,3.29
0,-0.33,0.585947,1.76
-1.6,-1.8,0.717739,1
-1.3,-2.13,0.259477,4.1
-1.4,-1.7,0.609672,3.12
-1.4,-1.83,0.495502,2.46
0,-0.31,0.603927,2.25
-0.5,-0.89,0.527459,2.12
0,-0.1,0.852053,0.55
0,-0.02,0.963376,0.11
-6.8,-6.99,0.735932,1.32
-2.2,-2.3,0.843672,0.94
-3.1,-3.67,0.393889,1.01
0,-0.66,0.339997,2.3
-0.5,-1.06,0.404616,2.57
-4.2,-4.25,0.921428,0.17
0,-0.43,0.497037,1.71
-0.6,-1.01,0.514171,1.43
-0.6,-1.25,0.34785,4.29
-0.7,-1,0.615953,1.45
0,-0.37,0.550058,2.12
-3.7,-3.73,0.959157,0.3
0,-0.24,0.674839,1.25
0,-0.42,0.507575,2.06
0,-0.72,0.310723,3.41
-0.3,-0.73,0.501261,2.01
0,-0.55,0.407184,2.56
-0.8,-1.33,0.425599,2.17
-2,-2.25,0.668727,2.9
0,-0.63,0.357771,2.16
0,-0.22,0.696491,1.96
-4.2,-4.32,0.820683,0.66
-0.4,-0.77,0.546508,1.53
-1,-1.35,0.56229,2.33
-1,-1.55,0.409441,3.14
-5.2,-5.31,0.837133,1.7
-1.8,-2.01,0.713991,0.65
-5.6,-5.79,0.735307,1.09
0,-0.45,0.481147,2.43
0,-0.07,0.891807,0.24
-2.8,-2.85,0.919755,0.56
-3.6,-3.69,0.870052,0.29
-0.9,-1.33,0.497871,3.43
-1.6,-1.94,0.571924,3.55
-4.6,-4.99,0.533375,1.07
-1.3,-1.58,0.631936,2.38
0,-0.51,0.436664,2.63
0,-0.06,0.904621,0.38
0,0,0.994381,0.01
-0.1,-0.54,0.487651,1.7
-2.5,-2.59,0.859266,0.37
-0.3,-0.92,0.363252,3.77
0,-0.25,0.666685,1.25
-2.9,-3.3,0.523058,2.67
0,-0.12,0.820541,0.62
0,-0.54,0.414225,2.19
0,-0.58,0.389576,2.84
0,-0.27,0.648012,1.62
0,-0.19,0.731005,1.81
