MFE,FETE,FMSE,ED
0,-0.08,0.885307,0.39
-0.4,-0.79,0.526885,2.3
-3.3,-3.38,0.878197,1.1
0,-0.69,0.324409,3.05
-0.8,-1.12,0.59186,2.66
-2.2,-2.77,0.394171,5.39
-0.3,-1.07,0.285927,3.38
0,-0.5,0.445925,2.46
-1.2,-1.5,0.616511,2.2
0,-0.02,0.973143,0.09
-1.6,-1.76,0.776172,1.62
0,-0.25,0.665571,1.32
0,0,0.997928,0
0,-0.34,0.572805,1.58
0,-0.4,0.524149,2.12
0,-0.2,0.719142,1.15
-7,-7.52,0.432209,1.04
-1.5,-2.08,0.392159,2.09
-0.3,-0.64,0.57768,1.22
0,-0.49,0.448129,2.78
0,-0.29,0.620676,1.5
-3.3,-3.41,0.838339,1.34
0,-0.09,0.867946,0.43
0,-0.32,0.590792,1.71
-2,-2.14,0.795895,0.79
-1.4,-1.72,0.592191,1.6
0,-0.37,0.552671,2.12
0,-0.02,0.967829,0.07
-0.1,-1.14,0.183935,4.72
-3.8,-4.26,0.473225,0.82
-0.3,-0.74,0.488143,1.83
-1,-1.61,0.372096,3.48
0,-0.2,0.720248,1.31
-4.6,-4.77,0.753239,2.24
-0.5,-0.85,0.567412,2.76
-1.6,-1.78,0.741827,0.68
0,-0.09,0.866449,0.46
0,-0.54,0.415976,2.62
0,-0.48,0.461927,2.82
-0.1,-0.63,0.424668,2.23
-2.8,-3.13,0.580868,1.08
0,-0.48,0.456512,2.4
0,-0.33,0.587418,1.61
0,-0.49,0.451417,2.5
0,-0.18,0.740733,1.23
-0.8,-1.24,0.48656,3.49
0,-0.14,0.795152,0.54
0,-0.34,0.572031,1.36
0,-0.02,0.967953,0.11
-1.8,-2.39,0.382274,3.58
0,-0.14,0.800817,0.87
-1.1,-1.96,0.24583,3.57
0,-0.25,0.666673,1.02
0,-0.22,0.6975,1.39
0,-0.11,0.833091,0.58
0,-0.12,0.816911,0.71
-0.7,-1.69,0.200741,2.84
0,0,0.995051,0.01
-0.4,-0.89,0.453984,2.23
-4.2,-4.39,0.730755,1.26
-5.4,-5.54,0.799586,1.91
0,-0.26,0.653899,1.22
-3.2,-3.33,0.80364,2.4
-2.3,-2.64,0.579156,4.4
-0.6,-1.16,0.400588,2.31
-0.2,-0.66,0.475836,2.45
-3.3,-3.35,0.915421,0.31
-0.1,-0.51,0.518186,1.02
0,-0.12,0.828735,0.67
-1,-2.07,0.175157,4.18
-1.8,-1.92,0.828394,0.73
-3.2,-3.46,0.655924,2.13
-3.2,-3.79,0.384939,5.32
-1.4,-1.59,0.731492,0.76
-4,-4.29,0.62327,0.6
-2,-2.31,0.605224,2.19
-3.7,-3.85,0.780601,1.73
0,-0.51,0.435788,2.22
-1.3,-1.76,0.470496,1.22
-6.1,-6.23,0.804947,0.34
-0.9,-1.76,0.248181,4.39
-0.5,-1.36,0.248604,4.25
-1.6,-2.27,0.339654,1.68
